                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.72784,                0.41845,                0.95995,                0.98972,                      1,                  0.995,                0.83315,                0.85262,                 0.4348,                0.91931,               0.004555,               0.004555,               0.004555
                     57,                0.90735,                0.51806,                 1.0444,                0.98989,                      1,                  0.995,                0.81853,                0.73213,                0.40822,                 0.8782,               0.004456,               0.004456,               0.004456
                     58,                0.76298,                0.46687,                0.98831,                0.98947,                      1,                  0.995,                0.84012,                0.77452,                 0.3582,                0.87183,               0.004357,               0.004357,               0.004357
                     59,                0.85746,                0.51189,                 1.0245,                0.99068,                      1,                  0.995,                 0.8277,                0.72742,                0.34735,                0.85556,               0.004258,               0.004258,               0.004258
                     60,                0.77358,                0.41216,                 1.0127,                0.99068,                      1,                  0.995,                 0.8277,                0.72742,                0.34735,                0.85556,               0.004159,               0.004159,               0.004159
                     61,                0.76183,                0.41767,                 1.0479,                0.99106,                      1,                  0.995,                0.82692,                0.73687,                0.34427,                0.86028,                0.00406,                0.00406,                0.00406
                     62,                0.80472,                0.43268,                0.96688,                0.98921,                      1,                  0.995,                0.81949,                0.80179,                0.38671,                0.86942,               0.003961,               0.003961,               0.003961
                     63,                0.85232,                0.45716,                  1.024,                0.99034,                      1,                  0.995,                0.79647,                0.74333,                0.37764,                0.84804,               0.003862,               0.003862,               0.003862
                     64,                0.83305,                0.45716,                0.99669,                0.99034,                      1,                  0.995,                0.79647,                0.74333,                0.37764,                0.84804,               0.003763,               0.003763,               0.003763
                     65,                0.76875,                0.46208,                0.93552,                0.99094,                      1,                  0.995,                0.77173,                0.78657,                0.39939,                0.86223,               0.003664,               0.003664,               0.003664
                     66,                0.74771,                0.41358,                0.97935,                0.99103,                      1,                  0.995,                0.76669,                0.88335,                0.42514,                0.90244,               0.003565,               0.003565,               0.003565
                     67,                0.85861,                 0.4407,                 1.0174,                0.99073,                      1,                  0.995,                0.77319,                0.88208,                0.39164,                0.89569,               0.003466,               0.003466,               0.003466
                     68,                 0.7861,                0.43032,                0.97042,                0.99073,                      1,                  0.995,                0.77319,                0.88208,                0.39164,                0.89569,               0.003367,               0.003367,               0.003367
                     69,                0.72737,                0.40169,                0.94766,                0.99028,                      1,                  0.995,                0.76268,                0.90576,                0.41992,                0.90089,               0.003268,               0.003268,               0.003268
                     70,                0.76999,                0.42066,                 1.0005,                   0.99,                      1,                  0.995,                0.76189,                0.89279,                0.44479,                0.90062,               0.003169,               0.003169,               0.003169
                     71,                0.83244,                0.46873,                 1.0187,                0.98975,                      1,                  0.995,                0.77002,                0.88473,                0.42018,                0.90413,                0.00307,                0.00307,                0.00307
                     72,                0.59988,                0.37115,                0.95492,                0.98975,                      1,                  0.995,                0.77002,                0.88473,                0.42018,                0.90413,               0.002971,               0.002971,               0.002971
                     73,                0.78658,                0.42348,                0.98699,                0.98957,                      1,                  0.995,                0.77067,                  0.869,                0.39625,                0.89966,               0.002872,               0.002872,               0.002872
                     74,                0.86291,                0.44111,                0.97907,                0.98999,                      1,                  0.995,                0.79921,                 0.8668,                0.41079,                0.89959,               0.002773,               0.002773,               0.002773
                     75,                0.84764,                0.44233,                0.97488,                0.98981,                      1,                  0.995,                0.78443,                0.81479,                0.39282,                0.88194,               0.002674,               0.002674,               0.002674
                     76,                 0.7222,                0.41488,                0.99321,                0.98981,                      1,                  0.995,                0.78443,                0.81479,                0.39282,                0.88194,               0.002575,               0.002575,               0.002575
                     77,                0.76076,                0.41036,                0.97763,                0.98997,                      1,                  0.995,                0.78522,                0.82752,                0.43313,                0.88496,               0.002476,               0.002476,               0.002476
                     78,                0.72085,                0.41009,                0.98576,                0.99035,                      1,                  0.995,                0.77733,                0.80763,                0.41719,                0.87659,               0.002377,               0.002377,               0.002377
                     79,                0.80021,                0.42688,                 0.9621,                0.99044,                      1,                  0.995,                0.79443,                0.82326,                0.39992,                0.88264,               0.002278,               0.002278,               0.002278
                     80,                0.74095,                0.38639,                0.98969,                0.99044,                      1,                  0.995,                0.79443,                0.82326,                0.39992,                0.88264,               0.002179,               0.002179,               0.002179
                     81,                0.63183,                 0.3906,                0.90683,                0.99068,                      1,                  0.995,                0.79537,                0.80267,                0.36298,                0.88566,                0.00208,                0.00208,                0.00208
                     82,                0.62906,                0.37097,                0.94036,                0.99062,                      1,                  0.995,                0.77733,                0.84566,                0.38799,                0.90158,               0.001981,               0.001981,               0.001981
                     83,                0.72052,                0.38061,                0.96393,                0.99069,                      1,                  0.995,                0.81112,                0.80897,                0.37551,                 0.8873,               0.001882,               0.001882,               0.001882
                     84,                0.63301,                0.37932,                0.90418,                0.99069,                      1,                  0.995,                0.81112,                0.80897,                0.37551,                 0.8873,               0.001783,               0.001783,               0.001783
                     85,                0.64001,                0.40528,                0.94609,                 0.9903,                      1,                  0.995,                  0.808,                0.83843,                0.38601,                0.89814,               0.001684,               0.001684,               0.001684
                     86,                0.86628,                0.44352,                 1.0206,                0.99013,                      1,                  0.995,                0.83129,                0.84771,                0.38611,                0.90169,               0.001585,               0.001585,               0.001585
                     87,                0.65272,                0.37904,                0.92669,                0.99007,                      1,                  0.995,                 0.8302,                0.84332,                 0.3694,                0.89681,               0.001486,               0.001486,               0.001486
                     88,                0.66128,                0.40573,                 0.9204,                0.99007,                      1,                  0.995,                 0.8302,                0.84332,                 0.3694,                0.89681,               0.001387,               0.001387,               0.001387
                     89,                0.71349,                 0.3977,                0.90807,                0.99025,                      1,                  0.995,                 0.8302,                0.81205,                0.36661,                0.88364,               0.001288,               0.001288,               0.001288
                     90,                 0.5778,                0.33927,                0.91874,                0.99019,                      1,                  0.995,                 0.8302,                0.75045,                0.35655,                0.86815,               0.001189,               0.001189,               0.001189
                     91,                0.68869,                0.32368,                0.91199,                0.99006,                      1,                  0.995,                0.80922,                0.74121,                0.33793,                0.86818,                0.00109,                0.00109,                0.00109
                     92,                0.56046,                0.29247,                0.90108,                0.99006,                      1,                  0.995,                0.80922,                0.74121,                0.33793,                0.86818,               0.000991,               0.000991,               0.000991
                     93,                 0.6631,                0.31306,                0.95076,                0.99023,                      1,                  0.995,                0.81125,                0.74538,                 0.3335,                0.87182,               0.000892,               0.000892,               0.000892
                     94,                0.61425,                0.32444,                0.88829,                 0.9901,                      1,                  0.995,                0.81125,                0.77335,                0.33558,                0.88079,               0.000793,               0.000793,               0.000793
                     95,                0.68915,                0.35596,                0.97934,                0.99017,                      1,                  0.995,                0.81017,                0.77449,                0.33528,                0.88357,               0.000694,               0.000694,               0.000694
                     96,                0.56096,                 0.2931,                0.89043,                0.99017,                      1,                  0.995,                0.81017,                0.77449,                0.33528,                0.88357,               0.000595,               0.000595,               0.000595
                     97,                0.57184,                0.28889,                 0.9312,                0.99028,                      1,                  0.995,                0.80764,                0.77211,                0.33649,                0.88403,               0.000496,               0.000496,               0.000496
                     98,                0.57045,                0.30335,                0.91727,                 0.9903,                      1,                  0.995,                0.82767,                0.78052,                0.34742,                0.88516,               0.000397,               0.000397,               0.000397
                     99,                0.68125,                0.34152,                0.91643,                0.99029,                      1,                  0.995,                 0.8302,                0.79023,                0.34593,                0.88998,               0.000298,               0.000298,               0.000298
